RNF11	
EPS15	
OSBPL9	
ORP9	
NRD1	
RAB3B	
TXNDC12	
TLP19	
ERP18	
ZFYVE9	
MADHIP	
SARA	
ORC1	Autosomal recessive
ORC1L	Autosomal recessive
ZCCHC11	
KIAA0191	
GPX7	
NPGPX	
COA7	
RESA1	
SELRC1	
C1orf163	
SCP2	
PODN	
CPT2	Autosomal recessive
IIAE4	Autosomal recessive
CPT2	Autosomal recessive
IIAE4	Autosomal recessive
CPT2	Autosomal recessive
IIAE4	Autosomal recessive
CPT2	Autosomal dominant; Autosomal recessive
IIAE4	Autosomal dominant; Autosomal recessive
MAGOH	
LRP8	
APOER2	
MCI1	
DMRTB1	
GLIS1	
TMEM48	
NDC1	
DIO1	
TXDI1	
CDCP2	
MRPL37	
SSBP3	
ACOT11	
THEA	
BFIT	
BFIT1	
BFIT2	
KIAA0707	
TTC4	
PARS2	
C1orf177	
LEM	
DHCR24	Autosomal recessive
KIAA0018	Autosomal recessive
BSND	Autosomal recessive
BSND	Autosomal recessive
PCSK9	
NARC1	
HCHOLA3	
FH3	
LDLCQ1	
PCSK9	
NARC1	
HCHOLA3	
FH3	
LDLCQ1	
USP24	
KIAA1057	
PRKAA2	
AMPK	
C8A	Autosomal recessive
C8B	Autosomal recessive
DAB1	
TACSTD2	Autosomal recessive
TROP2	Autosomal recessive
M1S1	Autosomal recessive
MYSM1	
2ADUB	
KIAA1915	
JUN	
FGGY	
FLJ10986	
HOOK1	
HK1	
CYP2J2	
AIR	
ASRT4	
AVSD1	
AVCD	
OFC14	Autosomal recessive
OPHLC	Autosomal dominant
C1DUPp31.3	Autosomal dominant
DUP1p31.3	Autosomal dominant
PAOD1	
POROK5	
DSAP3	
NFIA	
TM2D1	
BBP	
INADL	
PATJ	
KANK4	
USP1	
DOCK7	Autosomal recessive
KIAA1771	Autosomal recessive
EIEE23	Autosomal recessive
ANGPTL3	Autosomal recessive
ANGPT5	Autosomal recessive
FHBL2	Autosomal recessive
FOXD3	
AIS1	
VAMAS2	
ALG6	Autosomal recessive
CDG1C	Autosomal recessive
ITGB3BP	
NRIF3	
PGM1	Autosomal recessive
GSD14	Autosomal recessive
CDG1T	Autosomal recessive
NTRKR1	
ROR1	
RAVER2	
KIAA1579	
JAK1	
MIR101-1	
MIRN101-1	
AK3	
DNAJC6	Autosomal recessive
DJC6	Autosomal recessive
KIAA0473	Autosomal recessive
PARK19	Autosomal recessive
LEPROT	
OBRGRP	
LEPR	
OBR	
LEPRD	
PDE4B	
DPDE4	
SGIP1	
INSL5	
SLC35D1	Autosomal recessive
UGTREL7	Autosomal recessive
KIAA0260	Autosomal recessive
IL23R	
IBD17	
IL23R	
IBD17	
IL12RB2	
SERBP1	
PAIRBP1	
DDIT1	
GADD45	
GNG12	
GNG12AS1	
DIRAS3	
ARHI	
WLS	
GPR177	
EVI	
RPE65	Autosomal recessive
RP20	Autosomal recessive
LCA2	Autosomal recessive
RPE65	
RP20	
LCA2	
DEPDC1	
PBC3	
SPG29	Autosomal dominant
LRRC7	
DENSIN	
KIAA1365	
PIN1L	
SRSF11	
SFRS11	
ANKRD13C	
HHLA3	
CTH	Autosomal recessive
CTH	
PTGER3	
EP3	
ZNF265	
ZIS	
NEGR1	
KILON	
FPGT	
GFPP	
TNNI3K	Autosomal dominant
CCDD	Autosomal dominant
CRYZ	
TYW3	
LHX8	
ACADM	Autosomal recessive
MCAD	Autosomal recessive
RABGGTB	
MSH4	
ST6GALNAC3	
SIAT7C	
ST6GALNAC5	
SIAT7E	
PIGK	
GPI8	
AK5	
USP33	
VDU1	
FAM73A	
MIGA1	
NEXN	
NELIN	
CMD1CC	
CMH20	
NEXN	Autosomal dominant
